precinct,name,street,city,state,zip,geo_longitude,geo_latitude,geo_accuracy,notes
241,Brentwood Elementary School,6700 Arroyo Seco,Austin,TX,78757,-97.73124,30.33988,house,""
242,Northwest Baptist Church,6301 Woodrow Avenue,Austin,TX,78757,-97.729622,30.334602,house,""
243,Ben Hur Shriners Hall,7811 Rockwood Lane,Austin,TX,78757,-97.738055,30.358129,house,""
244,Randalls Steiner Ranch,5145 RM 620 North,Austin,TX,78732,-97.885008,30.389683,house,""
245,Grandview Hills Elementary School,12024 Vista Parke Drive,Austin,TX,78726,-97.852907,30.416315,house,""
246,Hill Elementary School,8601 Tallwood Drive,Austin,TX,78759,-97.748601,30.376383,house,""
247,Doss Elementary School,7005 Northledge Drive,Austin,TX,78731,-97.762527,30.356323,house,""
248,Burnet Middle School,8401 Hathaway Drive,Austin,TX,78757,-97.72635,30.363905,house,""
249,St. Matthews Episcopal Church,8134 Mesa Drive,Austin,TX,78759,-97.75645,30.37462,house,""
250,Mathews Elementary School,906 West Lynn Street,Austin,TX,78703,-97.7608,30.278341,house,""
251,O. Henry Middle School,2610 West 10th Street,Austin,TX,78703,-97.774463,30.285998,house,"Combined precincts 210, 251"
252,North Village Library,2505 Steck Avenue,Austin,TX,78757,-97.730598,30.361822,house,""
253,First Presbyterian Church,8001 Mesa Drive,Austin,TX,78731,-97.757453,30.369441,house,""
254,Emeritus at North Austin,5310 Duval Road,Austin,TX,78727,-97.744288,30.418998,house,"Combined precincts 228, 254, 267"
256,Howson Branch Library,2500 Exposition Boulevard,Austin,TX,78703,-97.767656,30.29837,house,"Combined precincts 256, 266"
258,McBee Elementary School,1001 West  Braker Lane,Austin,TX,78758,-97.69043,30.38302,house,""
259,Summitt Elementary School,12207 Brigadoon Lane,Austin,TX,78727,-97.719913,30.4186,house,""
260,Austin Brethren Church,1800 Payton Gin Road,Austin,TX,78758,-97.71663,30.365692,house,""
262,Anderson High School,8403 Mesa Drive,Austin,TX,78759,-97.75418,30.37593,house,""
263,United Christian Church,3500 West Parmer Lane,Austin,TX,78727,-97.709237,30.423827,house,""
266,Howson Branch Library,2500 Exposition Boulevard,Austin,TX,78703,-97.767656,30.29837,house,"Combined precincts 256, 266"
267,Emeritus at North Austin,5310 Duval Road,Austin,TX,78727,-97.744288,30.418998,house,"Combined precincts 228, 254, 267"
268,Grant AME Worship Center,1701 Kramer Lane,Austin,TX,78758,-97.70442,30.384861,house,""
273,Trinity Lutheran Church,1207 West 45th Street,Austin,TX,78756,-97.7405,30.31469,house,""
274,First English Lutheran Church,3001 Whitis Avenue,Austin,TX,78705,-97.738731,30.295341,house,""
275,Baker Center,3908 Avenue B (Enter off of 39th Street),Austin,TX,78751,-97.736349,30.303169,house,""
277,University Co-op,2246 Guadalupe Street,Austin,TX,78705,-97.741907,30.286049,house,""
301,Sunset Valley City Hall,3205 Jones Road,Sunset Valley,TX,78745,-97.809917,30.228425,house,""
302,Bailey Middle School,4020 Lost Oasis Hollow,Austin,TX,78739,-97.872519,30.164163,house,""
303,Oak Hill Primitive Baptist Church,11408 FM 1826,Austin,TX,78737,-97.92376,30.19736,house,""
304,Kiker Elementary School,5913 LaCrosse Avenue,Austin,TX,78739,-97.881532,30.191014,house,""
305,Great Hills Baptist Church,10500 Jollyville Road,Austin,TX,78759,-97.750189,30.39841,house,"Combined precincts 305, 323, 345"
306,Lakeway Activity Center,105 Cross Creek Drive,Lakeway,TX,78734,-97.98138,30.362128,house,"Combined precincts 306, 319"
307,Rollingwood Municipal Building,403 Nixon Drive,Rollingwood,TX,78746,-97.788416,30.275811,house,"Combined precincts 307, 356"
308,Briarcliff P.O.A. Community Center,22801 Braircliff Drive,Briarcliff,TX,78669,-98.056777,30.40634,house,""
309,Southwest Christian Church (Worship Center),10500 Old Manchaca Road,Austin,TX,78748,-97.83131,30.166538,house,""
310,Manchaca United Methodist Church,1011 FM 1626,Manchaca,TX,78652,-97.831814,30.140878,house,""
311,Senior Activity Center,2874 Shoal Crest Avenue,Austin,TX,78705,-97.74799,30.297676,house,"Combined precincts 311, 313"
312,Travis County Sheriff's Office,3800 Hudson Bend Road,Austin,TX,78734,-97.929425,30.398456,house,""
313,Senior Activity Center,2874 Shoal Crest Avenue,Austin,TX,78705,-97.74799,30.297676,house,"Combined precincts 311, 313"
314,Oak Hill Fire Dept. Barton Creek Station,4111 Barton Creek Boulevard,Austin,TX,78735,-97.883463,30.278711,house,""
315,Villages Amenities Center,12006 Gatling Gun Lane,Austin,TX,78748,-97.854061,30.154001,house,""
316,Travis County Parks Office,14624 Hamilton Pool Road,Austin,TX,78738,-97.972598,30.307689,house,""
317,Eanes ISD Administration Building,601 Camp Craft Road,Austin,TX,78746,-97.816558,30.277915,house,""
318,Austin Ridge Bible Church,9300 Bee Cave Road,Austin,TX,78733,-97.871103,30.318803,house,""
319,Lakeway Activity Center,105 Cross Creek Drive,Lakeway,TX,78734,-97.98138,30.362128,house,"Combined precincts 306, 319"
320,Randalls Lakeway,2301 RR 620 South,Lakeway,TX,78734,-97.967427,30.342102,house,""
321,Triumphant Love Lutheran Church,9508 Great Hills Trail,Austin,TX,78759,-97.75579,30.39472,house,""
323,Great Hills Baptist Church,10500 Jollyville Road,Austin,TX,78759,-97.750189,30.39841,house,"Combined precincts 305, 323, 345"
324,Bee Cave Baptist Church,13222 Hwy 71 West,Bee Cave,TX,78738,-97.946087,30.308967,house,"Combined precincts 324, 368"
325,Austin City Hall,301 West 2nd Street (Media Room),Austin,TX,78701,-97.747271,30.264553,house,"Combined precincts 325, 329"
326,Laurel Mountain Elementary School,10111 DK Ranch Road,Austin,TX,78759,-97.781754,30.414945,house,""
327,Fire Station #33,9409 Bluegrass Drive,Austin,TX,78759,-97.767404,30.398919,house,""
328,Renaissance Retirement Center,11279 Taylor Draper Lane,Austin,TX,78759,-97.752045,30.410717,house,""
329,Austin City Hall,301 West 2nd Street (Media Room),Austin,TX,78701,-97.747271,30.264553,house,"Combined precincts 325, 329"
330,Laura's Library,9411 Bee Cave Road,Austin,TX,78733,-97.87179,30.315099,house,"Combined precincts 330, 357"
331,Kathy Caraway Elementary School,11104 Oakview Drive (Enter off of Carlwood),Austin,TX,78759,-97.768024,30.41959,house,""
332,Lamar Plaza Shopping Center,1150 South Lamar Boulevard,Austin,TX,78704,-97.762463,30.255041,house,""
