countyname,name,addr1,addr2,city,state,zip
Travis,Virginia Brown Recreation Center,7500 Blessing Ave.,,Austin,TX,78752
Travis,Spring Hill Elementary School,600 S. Heatherwilde Blvd.,,Pflugerville,TX,78660
Travis,Barrington Elementary School,400 Cooper Dr.,,Austin,TX,78753
Travis,Winters Building,701 West 51st St.,,Austin,TX,78751
Travis,Red River Church,4425 Red River St.,,Austin,TX,78751
Travis,Boulder Ridge Community Room,3300 Killingsworth Ln.,,Pflugerville,TX,78660
Travis,River Oaks Elementary School,12401 Scofield Farms Dr.,,Austin,TX,78758
Travis,Hartfield Performing Arts Center,5800 McNeil Dr.,,Austin,TX,78729
Travis,UT Flawn Academic Center,2400 Inner Campus Dr. (West Mall),,Austin,TX,78712
Travis,Cook Elementary School,1511 Cripple Creek Dr.,,Austin,TX,78758
Travis,O. Henry Middle School,2610 West 10th St.,,Austin,TX,78703
Travis,Walnut Creek Elementary School,401 West Braker Ln.,,Austin,TX,78753
Travis,Bridge Point Elementary,6401 Cedar St.,,Austin,TX,78746
Travis,Cat Mountain H.O.A.,6007 Mount Bonnell Rd.,,Austin,TX,78731
Travis,Bryker Woods Elementary School,3309 Kerbey Ln.,,Austin,TX,78703
Travis,Wells Branch MUD,3000 Shoreline Dr.,,Austin,TX,78728
Travis,Northwest Elementary School,14014 Thermal Dr.,,Austin,TX,78728
Travis,Lanier High School,1201 Payton Gin Rd.,,Austin,TX,78758
Travis,ACC Northridge Campus,11928 Stonehollow Dr.,,Austin,TX,78758
Travis,Caldwell Elementary School,1718 Picadilly Dr.,,Round Rock,TX,78664
Travis,Bridge Point Elementary School,6401 Cedar St.,,Austin,TX,78746
Travis,Brookdale North Austin,5310 Duval Rd.,,Austin,TX,78727
Travis,Wells Branch Community Center,2106 Klattenhoff Dr.,,Austin,TX,78728
Travis,Cat Mountain Homeowners Association,6007 Mount Bonnell Rd.,,Austin,TX,78737
Travis,Canyon Ridge Middle School,12601 Country Trails Ln.,,Austin,TX,78731
Travis,River Place Elementary School,6500 Sitio Del Rio Blvd.,,Austin,TX,78730
Travis,McCallum High School,5600 Sunshine Dr.,,Austin,TX,78756
Travis,Rosedale School,2117 West 49th St.,,Austin,TX,78756
Travis,Highland Park Baptist Church,5206 Balcones Dr.,,Austin,TX,78731
Travis,Murchison Middle School,3700 North Hills Dr.,,Austin,TX,78731
Travis,Gullett Elementary School,6310 Treadwell Boulevard,,Austin,TX,78757
Travis,Highland Park Elementary School,4900 Fairview Dr.,,Austin,TX,78731
Travis,Northwest Baptist Church,6301 Woodrow Ave,,Austin,TX,78757
Travis,Ben Hur Shrine Center,7811 Rockwood Ln.,,Austin,TX,78757
Travis,Randalls Steiner Ranch,5145 RM 620 North,,Austin,TX,78732
Travis,Grandview Hills Elementary School,12024 Vista Parke Dr.,,Austin,TX,78726
Travis,Hill Elementary School,8601 Tallwood Dr.,,Austin,TX,78759
Travis,Doss Elementary School,7005 Northledge Dr.,,Austin,TX,78731
Travis,Burnet Middle School,8401 Hathaway Dr.,,Austin,TX,78757
Travis,St. Matthew's Episcopal Church,8134 Mesa Dr.,,Austin,TX,78759
Travis,St. Luke United Methodist Church,1306 West Lynn St.,,Austin,TX,78703
Travis,North Village Library,2505 Steck Ave.,,Austin,TX,78757
Travis,Howson Library,2500 Exposition Blvd.,,Austin,TX,78703
Travis,McBee Elementary School,1001 West Braker Ln.,,Austin,TX,78758
Travis,Summitt Elementary School,12207 Brigadoon Ln.,,Austin,TX,78727
Travis,Jaime Padron Elementary School,2011 W. Rundberg Ln.,,Austin,TX,78758
Travis,Anderson High School,8403 Mesa Dr.,,Austin,TX,78759
Travis,United Christian Church,3500 West Parmer Lane,,Austin,TX,78727
Travis,Grant AME Worship Center,1701 Kramer Ln.,,Austin,TX,78758
Travis,Congregation Beth Israel,3901 Shoal Creek Blvd.,,Austin,TX,78756
Travis,Baker Center,3908 Ave. B,,Austin,TX,78751
