id,source_id,county_name,county_fips,LocationName,address_line1,location_detail ,city,state,state_fips,zip5,Zip4,Latitude,Longitude,Schedule,exceptions,Notes,Source,date_acquired,county_wide,van_precinct_ids
64,64,Travis,453,Highland Park Baptist Church,5206 Balcones Dr.,,Austin,TX,48,78731,,30.334436,-97.759561,Street,4.85E+14,,,2/27/2016,Yes,
65,65,Travis,453,Murchison Middle School,3700 North Hills Dr.,,Austin,TX,48,78731,,30.3531,-97.757892,Street,4.85E+14,,,2/27/2016,Yes,
66,66,Travis,453,Gullett Elementary School,6310 Treadwell Boulevard,,Austin,TX,48,78757,,30.343126,-97.748439,Street,4.85E+14,,,2/27/2016,Yes,
67,67,Travis,453,Highland Park Elementary School,4900 Fairview Dr.,,Austin,TX,48,78731,,30.329886,-97.759712,Street,4.85E+14,,,2/27/2016,Yes,
68,68,Travis,453,Northwest Baptist Church,6301 Woodrow Ave,,Austin,TX,48,78757,,30.334234,-97.730215,Street,4.85E+14,,,2/27/2016,Yes,
69,69,Travis,453,Ben Hur Shrine Center,7811 Rockwood Ln.,,Austin,TX,48,78757,,30.358417,-97.738297,Street,4.85E+14,,,2/27/2016,Yes,
70,70,Travis,453,Randalls Steiner Ranch,5145 RM 620 North,,Austin,TX,48,78732,,30.389871,-97.883756,Street,4.85E+14,,,2/27/2016,Yes,
71,71,Travis,453,Grandview Hills Elementary School,12024 Vista Parke Dr.,,Austin,TX,48,78726,,30.416614,-97.855372,Street,4.85E+14,,,2/27/2016,Yes,
72,72,Travis,453,Hill Elementary School,8601 Tallwood Dr.,,Austin,TX,48,78759,,30.377199,-97.749092,Street,4.85E+14,,,2/27/2016,Yes,
73,73,Travis,453,Doss Elementary School,7005 Northledge Dr.,,Austin,TX,48,78731,,30.356285,-97.763124,Street,4.85E+14,,,2/27/2016,Yes,
74,74,Travis,453,Burnet Middle School,8401 Hathaway Dr.,,Austin,TX,48,78757,,30.363637,-97.726486,Street,4.85E+14,,,2/27/2016,Yes,
75,75,Travis,453,St. Matthew's Episcopal Church,8134 Mesa Dr.,,Austin,TX,48,78759,,30.373631,-97.75612,Street,4.85E+14,,,2/27/2016,Yes,
76,76,Travis,453,St. Luke United Methodist Church,1306 West Lynn St.,,Austin,TX,48,78703,,30.281226,-97.758622,Street,4.85E+14,,,2/27/2016,Yes,
77,77,Travis,453,North Village Library,2505 Steck Ave.,,Austin,TX,48,78757,,30.361932,-97.72986,Street,4.85E+14,,,2/27/2016,Yes,
78,78,Travis,453,Howson Library,2500 Exposition Blvd.,,Austin,TX,48,78703,,30.297994,-97.767574,Street,4.85E+14,,,2/27/2016,Yes,
79,79,Travis,453,McBee Elementary School,1001 West Braker Ln.,,Austin,TX,48,78758,,30.383666,-97.690814,Street,4.85E+14,,,2/27/2016,Yes,
80,80,Travis,453,Summitt Elementary School,12207 Brigadoon Ln.,,Austin,TX,48,78727,,30.418753,-97.719944,Street,4.85E+14,,,2/27/2016,Yes,
81,81,Travis,453,Jaime Padron Elementary School,2011 W. Rundberg Ln.,,Austin,TX,48,78758,,30.373675,-97.719382,Street,4.85E+14,,,2/27/2016,Yes,
82,82,Travis,453,Anderson High School,8403 Mesa Dr.,,Austin,TX,48,78759,,30.376104,-97.754148,Street,4.85E+14,,,2/27/2016,Yes,
83,83,Travis,453,United Christian Church,3500 West Parmer Lane,,Austin,TX,48,78727,,30.423128,-97.70904,Street,4.85E+14,,,2/27/2016,Yes,
84,84,Travis,453,Grant AME Worship Center,1701 Kramer Ln.,,Austin,TX,48,78758,,30.384897,-97.702781,Street,4.85E+14,,,2/27/2016,Yes,
85,85,Travis,453,Congregation Beth Israel,3901 Shoal Creek Blvd.,,Austin,TX,48,78756,,30.308664,-97.74814,Street,4.85E+14,,,2/27/2016,Yes,
86,86,Travis,453,Baker Center,3908 Ave. B,,Austin,TX,48,78751,,30.303355,-97.735529,Street,4.85E+14,,,2/27/2016,Yes,
87,87,Travis,453,University Co-op,2246 Guadalupe St.,,Austin,TX,48,78705,,30.285922,-97.741918,Street,4.85E+14,,,2/27/2016,Yes,
88,88,Travis,453,Sunset Valley City Hall,3205 Jones Rd.,,Austin,TX,48,78745,,30.228393,-97.810392,Street,4.85E+14,,,2/27/2016,Yes,
89,89,Travis,453,Bailey Middle School,4020 Lost Oasis Hollow,,Austin,TX,48,78739,,30.162699,-97.873351,Street,4.85E+14,,,2/27/2016,Yes,
90,90,Travis,453,Oak Hill Primitive Baptist Church,11408 FM 1826,,Austin,TX,48,78737,,30.196492,-97.922385,Street,4.85E+14,,,2/27/2016,Yes,
91,91,Travis,453,Kiker Elementary School,5913 LaCrosse Ave.,,Austin,TX,48,78739,,30.192084,-97.881722,Street,4.85E+14,,,2/27/2016,Yes,
92,92,Travis,453,Great Hills Baptist Church,10500 Jollyville Rd.,,Austin,TX,48,78759,,30.399421,-97.749561,Street,4.85E+14,,,2/27/2016,Yes,
93,93,Travis,453,Lakeway Activity Center,105 Cross Creek,,Austin,TX,48,78734,,30.363152,-97.979453,Street,4.85E+14,,,2/27/2016,Yes,
94,94,Travis,453,Rollingwood Municipal Building,403 Nixon Dr.,,Austin,TX,48,78746,,30.275864,-97.788545,Street,4.85E+14,,,2/27/2016,Yes,
95,95,Travis,453,Briarcliff P.O.A. Community Center,22801 Briarcliff Dr.,,Spicewood,TX,48,78669,,30.406785,-98.058021,Street,4.85E+14,,,2/27/2016,Yes,
96,96,Travis,453,Cowan Elem. School,2817 Kentish Dr.,,Austin,TX,48,78748,,30.18863,-97.831372,Street,4.85E+14,,,2/27/2016,Yes,
97,97,Travis,453,Manchaca United Methodist Church,1011 FM 1626,,Manchaca,TX,48,78652,,30.13343,-97.8546,Zip5,4.85E+14,,,2/27/2016,Yes,
98,98,Travis,453,ACC Rio Grande,1212 Rio Grande St.,,Austin,TX,48,78701,,30.276019,-97.747422,Street,4.85E+14,,,2/27/2016,Yes,
99,99,Travis,453,Travis County Sheriff�s Office,3800 Hudson Bend Rd.,,Austin,TX,48,78734,,30.398046,-97.929022,Street,4.85E+14,,,2/27/2016,Yes,
100,100,Travis,453,Senior Activity Center,2874 Shoal Crest Ave.,,Austin,TX,48,78705,,30.297304,-97.748018,Street,4.85E+14,,,2/27/2016,Yes,
