addr1,addr2,city,state,zip,matchbackid,tsmart_latitude,tsmart_longitude,tsmart_geolevel,tsmart_censusid
5913 LaCrosse Ave.,,Austin,TX,78739,92,30.192084,-97.881722,Street,4.8453E+14
10500 Jollyville Rd.,,Austin,TX,78759,93,30.399421,-97.749561,Street,4.8453E+14
105 Cross Creek,,Austin,TX,78734,94,30.363152,-97.979453,Street,4.8453E+14
403 Nixon Dr.,,Austin,TX,78746,95,30.275864,-97.788545,Street,4.8453E+14
22801 Briarcliff Dr.,,Spicewood,TX,78669,96,30.406785,-98.058021,Street,4.8453E+14
2817 Kentish Dr.,,Austin,TX,78748,97,30.18863,-97.831372,Street,4.8453E+14
1011 FM 1626,,Manchaca,TX,78652,98,30.13343,-97.8546,Zip5,4.8453E+14
1212 Rio Grande St.,,Austin,TX,78701,99,30.276019,-97.747422,Street,4.8453E+14
3800 Hudson Bend Rd.,,Austin,TX,78734,100,30.398046,-97.929022,Street,4.8453E+14
2874 Shoal Crest Ave.,,Austin,TX,78705,101,30.297304,-97.748018,Street,4.8453E+14
4111 Barton Creek Blvd.,,Austin,TX,78735,102,30.279239,-97.883794,Street,4.8453E+14
12006 Gatling Gun Ln.,,Austin,TX,78748,103,30.153801,-97.853979,Street,4.8453E+14
14624 Hamilton Pool Rd.,,Austin,TX,78738,104,30.307361,-97.975627,Street,4.8453E+14
1305 Quaker Ridge Dr.,,Austin,TX,78746,105,30.284086,-97.833401,Street,4.8453E+14
9300 Bee Cave Rd.,,Austin,TX,78733,106,30.317755,-97.868546,Street,4.8453E+14
105 Cross Creek,,Austin,TX,78734,107,30.363152,-97.979453,Street,4.8453E+14
2301 RR 620 South,,Austin,TX,78759,108,30.341962,-97.967648,Street,4.8453E+14
10500 Jollyville Rd.,,Austin,TX,78759,109,30.399421,-97.749561,Street,4.8453E+14
4000 Galleria Pkwy.,,Bee Cave,TX,78738,110,30.308923,-97.940181,Street,4.8453E+14
301 West 2nd St.,,Austin,TX,78701,111,30.264848,-97.746631,Street,4.8453E+14
10111 DK Ranch Rd.,,Austin,TX,78759,112,30.414439,-97.781735,Street,4.8453E+14
9409 Bluegrass Dr.,,Austin,TX,78759,113,30.399093,-97.767503,Street,4.8453E+14
11279 Taylor Draper Ln.,,Austin,TX,78759,114,30.411705,-97.75318,Street,4.8453E+14
9411 Bee Cave Rd.,,Austin,TX,78733,115,30.316143,-97.873108,Street,4.8453E+14
11104 Oak View Dr.,,Austin,TX,78759,116,30.420022,-97.767596,Street,4.8453E+14
1900 Bluebonnet Ln.,,Austin,TX,78704,117,30.252706,-97.773592,Street,4.8453E+14
10210 Ember Glen Drive,,Austin,TX,78726,118,30.436404,-97.824742,Street,4.8453E+14
10401 Anderson Mill Rd.,,Austin,TX,78750,119,30.447003,-97.805652,Street,4.8453E+14
"8455 Spicewood Springs Rd.
",,Austin,TX,78759,120,30.427633,-97.784239,Street,4.8453E+14
9023 Old Lampasas Tr.,,Austin,TX,78750,121,30.420323,-97.798837,Street,4.8453E+14
7317 Lakewood Dr.,,Austin,TX,78750,122,30.375046,-97.789103,Street,4.8453E+14
1502 San Juan Dr.,,Austin,TX,78733,123,30.338709,-97.866818,Street,4.8453E+14
6211 Parkwood Dr.,,Austin,TX,78735,124,30.236827,-97.855406,Street,4.8453E+14
2108 Barton Hills Dr.,,Austin,TX,78704,125,30.254157,-97.782912,Street,4.8453E+14
2200 Berkeley Ave.,,Austin,TX,78745,126,30.209677,-97.806169,Street,4.8453E+14
3301 Serene Hills Dr.,,Austin,TX,78738,127,30.34359,-97.997836,Street,4.8453E+14
1300 Walsh Tarlton Ln.,,Austin,TX,78746,128,30.271749,-97.802326,Street,4.8453E+14
7748 Highway 290 West,,Austin,TX,78749,129,30.229671,-97.881909,Street,4.8453E+14
2817 Kentish Dr.,,Austin,TX,78748,130,30.18863,-97.831372,Street,4.8453E+14
4801 Monterey Oaks Blvd.,,Austin,TX,78749,131,30.234406,-97.840459,Street,4.8453E+14
3700 Convict Hill Rd.,,Austin,TX,78749,132,30.211623,-97.834759,Street,4.8453E+14
607 RR 620 North,,Lakeway,TX,78734,133,30.369499,-97.948761,Street,4.8453E+14
4103 West Slaughter Ln.,,Austin,TX,78749,134,30.188679,-97.856814,Street,4.8453E+14
